review_id,primary_segment,Asin,Brand,Nation,Rating,pain_dimension,pain_tag,matched_keywords,Content
845,填色/大面积上色群,B001ANVDMA,posca,US,4,色彩饱和度与混合,负面-遮盖力差/透明,watery | streaky,"Hello everyone! My name is Aspen, @Paraslider on Twitter, I'm an artist and animator entering college this year, and I'd like to say I've been using these for 2 years now and they still work fine to this day. Some problems arose with the paint itself, which I'll get into later.For now, I'll start off with a brief introduction to how these pens work. Posca pens are notable for their usage in graffiti and street art, so the pen nibs are pretty much made to go through the wringer. As long as the surface you're going on isn't *too* toothy, like a broken brick or something, you can expect the nib to last a while. That being said; if you plan to use these on any kind of paper, expect the paper to pill. Pilling is the result of the pen nib being so abrasive on the paper's surface that it rips up the paper's surface/tooth. It won't destroy the paper by any means if it's watercolor paper or heavier weight paper, but printer paper is never ideal for these. The way you activate these is fairly simple-- you just press the nib down on a surface a bunch until the paint fills the nib, alternating between shaking the pen (cap on, of course) and pumping the nib like crazy until you get a nice, clean, consistent stroke.Let it be known, though, you will be shaking these pens a lot. I don't want to understate this in the slightest. You will spend a lot of time shaking these pens. If your batch is particularly fussy, hours even. When I tell you I've spent upwards of an hour or two just shaking and pumping my pens for the second piece of art in particular, please believe me there. Once that's done, you should be smoothly sailing. If not, I can only refer you to Kasey Golden's posca pen videos on YouTube for troubleshooting and tips.For clarity, I'll describe the processes behind each of these art pieces, as the size you're working on and the surface material matters greatly.1- The first painting (the side profile of my OC, grey background) is something I was able to do with just this 15 pen set, and it was my first go with these, done around late 2018. Watercolor paper, 7x7 inch size if I remember correctly, and yes, the paper pilled here and there. It wasn't at all a distraction or a major flaw of the markers, and it turned out perfectly fine. It sort of feels like eraser shavings, and if you like the texture the pilling produces, feel free to keep it! if not, it's really easy to wipe off after the paint dries.As can be seen, with just the base 15 markers, a lot can be done. If you're looking for a challenge and can work in a limited color palette, this set can take you far. The colors dry opaque and are super vibrant as expected. The coverage, especially for 3M size, is really nice and it dries down smooth and matte, no streaks abound. Poscas are renowned for their ability to create flat, sleek color blocks, so if that's your thing, you'll love these.2- This next piece (pattern background, 4 characters) was a lot larger than the first one, and was done on a 16x20 inch canvas and it was completed around a month or two ago. It's clear that I expanded the color count here, and you can totally buy different colors of posca pens on amazon for relatively cheap if you get them in packs. Individual pens, however, tend to be a lot pricier and more of a hassle to get, like 6-10 bucks a pop. Unlike the paper, there was no pilling at all on a canvas surface and was overall a much smoother experience. It took a bit of getting used to the canvas's surface, but it was a really fun project regardless.Aside from all the troubleshooting I had to do.You see, herein lies my major point of contention with these paint pens, but I'm sure this isn't just limited to posca, but all paint pens in general. I was painting this on an angle, and the canvas was stationed on an easel. Because of gravity, you can expect some of your pens to go rogue on you. They may appear to dry out or get streaky, but this is just due to the orientation of your canvas. This can typically be fixed by pumping the nib and shaking, but I will admit even after a while of this, some pens just don't want to cooperate. Some might stay watery, and others might stay streaky, and some might just die on you, and that's when I suggest a replacement. For instance, the navy blue and regular blue colors here were really temperamental, but after some deep, mindful, therapeutic thoughts such as ""goddamnit, please let me finish this before these die on me"" I was able to power through. Don't give up on your pens because they're showing signs of wear, because there's a chance they might still work/can be revived.TL:DR; These pens are spectacular for any artist of any skill level, but they aren't perfect and have some flaws. The orientation of the pen and your canvas affects the flow of the paint. In general, you won't see these problems with a majority of your pens, but every once in a while this may occur to a few in your batch. These are lovely for color laydown and produce consistent vibrant hues. They are definitely an investment though, so consider how you intend to use them and if it's worth the cost. These will make a lovely gift for any artist or creative!"
845,填色/大面积上色群,B001ANVDMA,posca,US,4,笔头耐用性,负面-寿命不匹配,dry out,"Hello everyone! My name is Aspen, @Paraslider on Twitter, I'm an artist and animator entering college this year, and I'd like to say I've been using these for 2 years now and they still work fine to this day. Some problems arose with the paint itself, which I'll get into later.For now, I'll start off with a brief introduction to how these pens work. Posca pens are notable for their usage in graffiti and street art, so the pen nibs are pretty much made to go through the wringer. As long as the surface you're going on isn't *too* toothy, like a broken brick or something, you can expect the nib to last a while. That being said; if you plan to use these on any kind of paper, expect the paper to pill. Pilling is the result of the pen nib being so abrasive on the paper's surface that it rips up the paper's surface/tooth. It won't destroy the paper by any means if it's watercolor paper or heavier weight paper, but printer paper is never ideal for these. The way you activate these is fairly simple-- you just press the nib down on a surface a bunch until the paint fills the nib, alternating between shaking the pen (cap on, of course) and pumping the nib like crazy until you get a nice, clean, consistent stroke.Let it be known, though, you will be shaking these pens a lot. I don't want to understate this in the slightest. You will spend a lot of time shaking these pens. If your batch is particularly fussy, hours even. When I tell you I've spent upwards of an hour or two just shaking and pumping my pens for the second piece of art in particular, please believe me there. Once that's done, you should be smoothly sailing. If not, I can only refer you to Kasey Golden's posca pen videos on YouTube for troubleshooting and tips.For clarity, I'll describe the processes behind each of these art pieces, as the size you're working on and the surface material matters greatly.1- The first painting (the side profile of my OC, grey background) is something I was able to do with just this 15 pen set, and it was my first go with these, done around late 2018. Watercolor paper, 7x7 inch size if I remember correctly, and yes, the paper pilled here and there. It wasn't at all a distraction or a major flaw of the markers, and it turned out perfectly fine. It sort of feels like eraser shavings, and if you like the texture the pilling produces, feel free to keep it! if not, it's really easy to wipe off after the paint dries.As can be seen, with just the base 15 markers, a lot can be done. If you're looking for a challenge and can work in a limited color palette, this set can take you far. The colors dry opaque and are super vibrant as expected. The coverage, especially for 3M size, is really nice and it dries down smooth and matte, no streaks abound. Poscas are renowned for their ability to create flat, sleek color blocks, so if that's your thing, you'll love these.2- This next piece (pattern background, 4 characters) was a lot larger than the first one, and was done on a 16x20 inch canvas and it was completed around a month or two ago. It's clear that I expanded the color count here, and you can totally buy different colors of posca pens on amazon for relatively cheap if you get them in packs. Individual pens, however, tend to be a lot pricier and more of a hassle to get, like 6-10 bucks a pop. Unlike the paper, there was no pilling at all on a canvas surface and was overall a much smoother experience. It took a bit of getting used to the canvas's surface, but it was a really fun project regardless.Aside from all the troubleshooting I had to do.You see, herein lies my major point of contention with these paint pens, but I'm sure this isn't just limited to posca, but all paint pens in general. I was painting this on an angle, and the canvas was stationed on an easel. Because of gravity, you can expect some of your pens to go rogue on you. They may appear to dry out or get streaky, but this is just due to the orientation of your canvas. This can typically be fixed by pumping the nib and shaking, but I will admit even after a while of this, some pens just don't want to cooperate. Some might stay watery, and others might stay streaky, and some might just die on you, and that's when I suggest a replacement. For instance, the navy blue and regular blue colors here were really temperamental, but after some deep, mindful, therapeutic thoughts such as ""goddamnit, please let me finish this before these die on me"" I was able to power through. Don't give up on your pens because they're showing signs of wear, because there's a chance they might still work/can be revived.TL:DR; These pens are spectacular for any artist of any skill level, but they aren't perfect and have some flaws. The orientation of the pen and your canvas affects the flow of the paint. In general, you won't see these problems with a majority of your pens, but every once in a while this may occur to a few in your batch. These are lovely for color laydown and produce consistent vibrant hues. They are definitely an investment though, so consider how you intend to use them and if it's worth the cost. These will make a lovely gift for any artist or creative!"
845,填色/大面积上色群,B001ANVDMA,posca,US,4,绘画表现,负面-涂色不均,streak | streaky,"Hello everyone! My name is Aspen, @Paraslider on Twitter, I'm an artist and animator entering college this year, and I'd like to say I've been using these for 2 years now and they still work fine to this day. Some problems arose with the paint itself, which I'll get into later.For now, I'll start off with a brief introduction to how these pens work. Posca pens are notable for their usage in graffiti and street art, so the pen nibs are pretty much made to go through the wringer. As long as the surface you're going on isn't *too* toothy, like a broken brick or something, you can expect the nib to last a while. That being said; if you plan to use these on any kind of paper, expect the paper to pill. Pilling is the result of the pen nib being so abrasive on the paper's surface that it rips up the paper's surface/tooth. It won't destroy the paper by any means if it's watercolor paper or heavier weight paper, but printer paper is never ideal for these. The way you activate these is fairly simple-- you just press the nib down on a surface a bunch until the paint fills the nib, alternating between shaking the pen (cap on, of course) and pumping the nib like crazy until you get a nice, clean, consistent stroke.Let it be known, though, you will be shaking these pens a lot. I don't want to understate this in the slightest. You will spend a lot of time shaking these pens. If your batch is particularly fussy, hours even. When I tell you I've spent upwards of an hour or two just shaking and pumping my pens for the second piece of art in particular, please believe me there. Once that's done, you should be smoothly sailing. If not, I can only refer you to Kasey Golden's posca pen videos on YouTube for troubleshooting and tips.For clarity, I'll describe the processes behind each of these art pieces, as the size you're working on and the surface material matters greatly.1- The first painting (the side profile of my OC, grey background) is something I was able to do with just this 15 pen set, and it was my first go with these, done around late 2018. Watercolor paper, 7x7 inch size if I remember correctly, and yes, the paper pilled here and there. It wasn't at all a distraction or a major flaw of the markers, and it turned out perfectly fine. It sort of feels like eraser shavings, and if you like the texture the pilling produces, feel free to keep it! if not, it's really easy to wipe off after the paint dries.As can be seen, with just the base 15 markers, a lot can be done. If you're looking for a challenge and can work in a limited color palette, this set can take you far. The colors dry opaque and are super vibrant as expected. The coverage, especially for 3M size, is really nice and it dries down smooth and matte, no streaks abound. Poscas are renowned for their ability to create flat, sleek color blocks, so if that's your thing, you'll love these.2- This next piece (pattern background, 4 characters) was a lot larger than the first one, and was done on a 16x20 inch canvas and it was completed around a month or two ago. It's clear that I expanded the color count here, and you can totally buy different colors of posca pens on amazon for relatively cheap if you get them in packs. Individual pens, however, tend to be a lot pricier and more of a hassle to get, like 6-10 bucks a pop. Unlike the paper, there was no pilling at all on a canvas surface and was overall a much smoother experience. It took a bit of getting used to the canvas's surface, but it was a really fun project regardless.Aside from all the troubleshooting I had to do.You see, herein lies my major point of contention with these paint pens, but I'm sure this isn't just limited to posca, but all paint pens in general. I was painting this on an angle, and the canvas was stationed on an easel. Because of gravity, you can expect some of your pens to go rogue on you. They may appear to dry out or get streaky, but this is just due to the orientation of your canvas. This can typically be fixed by pumping the nib and shaking, but I will admit even after a while of this, some pens just don't want to cooperate. Some might stay watery, and others might stay streaky, and some might just die on you, and that's when I suggest a replacement. For instance, the navy blue and regular blue colors here were really temperamental, but after some deep, mindful, therapeutic thoughts such as ""goddamnit, please let me finish this before these die on me"" I was able to power through. Don't give up on your pens because they're showing signs of wear, because there's a chance they might still work/can be revived.TL:DR; These pens are spectacular for any artist of any skill level, but they aren't perfect and have some flaws. The orientation of the pen and your canvas affects the flow of the paint. In general, you won't see these problems with a majority of your pens, but every once in a while this may occur to a few in your batch. These are lovely for color laydown and produce consistent vibrant hues. They are definitely an investment though, so consider how you intend to use them and if it's worth the cost. These will make a lovely gift for any artist or creative!"
845,填色/大面积上色群,B001ANVDMA,posca,US,4,表面/介质表现,负面-在石头上表现差,streaky,"Hello everyone! My name is Aspen, @Paraslider on Twitter, I'm an artist and animator entering college this year, and I'd like to say I've been using these for 2 years now and they still work fine to this day. Some problems arose with the paint itself, which I'll get into later.For now, I'll start off with a brief introduction to how these pens work. Posca pens are notable for their usage in graffiti and street art, so the pen nibs are pretty much made to go through the wringer. As long as the surface you're going on isn't *too* toothy, like a broken brick or something, you can expect the nib to last a while. That being said; if you plan to use these on any kind of paper, expect the paper to pill. Pilling is the result of the pen nib being so abrasive on the paper's surface that it rips up the paper's surface/tooth. It won't destroy the paper by any means if it's watercolor paper or heavier weight paper, but printer paper is never ideal for these. The way you activate these is fairly simple-- you just press the nib down on a surface a bunch until the paint fills the nib, alternating between shaking the pen (cap on, of course) and pumping the nib like crazy until you get a nice, clean, consistent stroke.Let it be known, though, you will be shaking these pens a lot. I don't want to understate this in the slightest. You will spend a lot of time shaking these pens. If your batch is particularly fussy, hours even. When I tell you I've spent upwards of an hour or two just shaking and pumping my pens for the second piece of art in particular, please believe me there. Once that's done, you should be smoothly sailing. If not, I can only refer you to Kasey Golden's posca pen videos on YouTube for troubleshooting and tips.For clarity, I'll describe the processes behind each of these art pieces, as the size you're working on and the surface material matters greatly.1- The first painting (the side profile of my OC, grey background) is something I was able to do with just this 15 pen set, and it was my first go with these, done around late 2018. Watercolor paper, 7x7 inch size if I remember correctly, and yes, the paper pilled here and there. It wasn't at all a distraction or a major flaw of the markers, and it turned out perfectly fine. It sort of feels like eraser shavings, and if you like the texture the pilling produces, feel free to keep it! if not, it's really easy to wipe off after the paint dries.As can be seen, with just the base 15 markers, a lot can be done. If you're looking for a challenge and can work in a limited color palette, this set can take you far. The colors dry opaque and are super vibrant as expected. The coverage, especially for 3M size, is really nice and it dries down smooth and matte, no streaks abound. Poscas are renowned for their ability to create flat, sleek color blocks, so if that's your thing, you'll love these.2- This next piece (pattern background, 4 characters) was a lot larger than the first one, and was done on a 16x20 inch canvas and it was completed around a month or two ago. It's clear that I expanded the color count here, and you can totally buy different colors of posca pens on amazon for relatively cheap if you get them in packs. Individual pens, however, tend to be a lot pricier and more of a hassle to get, like 6-10 bucks a pop. Unlike the paper, there was no pilling at all on a canvas surface and was overall a much smoother experience. It took a bit of getting used to the canvas's surface, but it was a really fun project regardless.Aside from all the troubleshooting I had to do.You see, herein lies my major point of contention with these paint pens, but I'm sure this isn't just limited to posca, but all paint pens in general. I was painting this on an angle, and the canvas was stationed on an easel. Because of gravity, you can expect some of your pens to go rogue on you. They may appear to dry out or get streaky, but this is just due to the orientation of your canvas. This can typically be fixed by pumping the nib and shaking, but I will admit even after a while of this, some pens just don't want to cooperate. Some might stay watery, and others might stay streaky, and some might just die on you, and that's when I suggest a replacement. For instance, the navy blue and regular blue colors here were really temperamental, but after some deep, mindful, therapeutic thoughts such as ""goddamnit, please let me finish this before these die on me"" I was able to power through. Don't give up on your pens because they're showing signs of wear, because there's a chance they might still work/can be revived.TL:DR; These pens are spectacular for any artist of any skill level, but they aren't perfect and have some flaws. The orientation of the pen and your canvas affects the flow of the paint. In general, you won't see these problems with a majority of your pens, but every once in a while this may occur to a few in your batch. These are lovely for color laydown and produce consistent vibrant hues. They are definitely an investment though, so consider how you intend to use them and if it's worth the cost. These will make a lovely gift for any artist or creative!"
1130,精细绘画/插画创作群,B001ANVDMA,posca,US,4,流畅性,负面-出墨过多/漏墨,bleed through,"I like POSCA markers for illustration and flat, cell shade graphic art. Works great in my Moleskine sketchbook (the one with the thicker smooth pages). No bleed through the pages. Opaque, matte finish. Wish there were more colors though. This set has 15 markers, which is a fine starter set, but lacks some colors for gradient (like a light purple or a darker beige). I supplement by layering  Prismacolor colored pencil and Tombow brush markers to achieve shadows."
1159,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,笔头耐用性,负面-寿命不匹配,dry out,"I've tried multiple different brands of acrylic markers for my paintings and these are definitely the best! They don't dry out nearly as fast as other brands I've tried. I use them for paintings on canvas, cardstock, and vinyl records - they're perfect for any surface! :)"
1214,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,流畅性,负面-出墨过多/漏墨,bleed through,My SIL loves them so much! Perfect gift for any artist! They don’t bleed through her bullet journal and they dry quickly.
1238,纸面手账/装饰书写群,B001ANVDMA,posca,US,3,性价比,负面-价格昂贵,pricey though | expensive | pricey,"Not sure what I expected, but they are just expensive markers to me. I bought them to paint rocks, and (perhaps I was just naive) they don't act like paint. There is no ability to blend so basically I am using markers. They do work WELL. The colours come onto the rocks really well. I'm disappointed with the colours. They are not true. The red is more soft and orangey for example. The green is really bright. If the colours were nicer they do work well for lettering or somewhat fine lines. They're pretty pricey though. Overall - they do work really well, just not what I wanted. Hope that is helpful!"
1258,填色/大面积上色群,B001ANVDMA,posca,US,5,笔头表现,负面-细节控制差,too thick,I liked these markers – it was fun to branch out into a new medium.  They laid down color more like paint and less like a marker.  I used them to color in adult coloring books and was happy that they didn’t bleed through the pages.  I wished I had gotten the extra fine point set because these were a little too thick to stay in the lines for some of the colorings – might work better for backgrounds.
1258,填色/大面积上色群,B001ANVDMA,posca,US,5,流畅性,负面-出墨过多/漏墨,bleed through,I liked these markers – it was fun to branch out into a new medium.  They laid down color more like paint and less like a marker.  I used them to color in adult coloring books and was happy that they didn’t bleed through the pages.  I wished I had gotten the extra fine point set because these were a little too thick to stay in the lines for some of the colorings – might work better for backgrounds.
1258,填色/大面积上色群,B001ANVDMA,posca,US,5,笔身与易用性,负面-握持不适,too thick,I liked these markers – it was fun to branch out into a new medium.  They laid down color more like paint and less like a marker.  I used them to color in adult coloring books and was happy that they didn’t bleed through the pages.  I wished I had gotten the extra fine point set because these were a little too thick to stay in the lines for some of the colorings – might work better for backgrounds.
1262,多表面diy/定制群,B001ANVDMA,posca,US,5,绘画表现,负面-涂色不均,streak | streaking,We love them they write clearly on glass without streaking. The Markers last about a year before they start drying out.The marker wipes off the glass with a sanitation wipe and a paper towel to dry glass. A little expensive but very good quality.
1262,多表面diy/定制群,B001ANVDMA,posca,US,5,性价比,负面-价格昂贵,a little expensive | expensive,We love them they write clearly on glass without streaking. The Markers last about a year before they start drying out.The marker wipes off the glass with a sanitation wipe and a paper towel to dry glass. A little expensive but very good quality.
1296,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,性价比,负面-价格昂贵,pricey,"My daughter is an artist . She suggested these to me for a restoration  project that I needed to touch up lettering . It worked perfect . Shake vigorously, depress tip to load and the flow is consistent and the colors are vibrant even on black material. I gave 5 stars on value though pricey , but the professional results match the value . Yeah my daughter got them now."
1333,多表面diy/定制群,B001ANVDMA,posca,US,2,墨水特性,负面-易褪色/不防水,scratches off,"Arrived much later than originally quoted on check out (shipped from Japan but Amazon should be more accurate with delivery times).  I bought these for a DIY mug project and the pens are nice (ink flows well, vibrant colours) but not good for coffee mugs.  The ink scratches off with the lightest touch, even after letting dry for 3 days and baking.  I also previously purchased water-based markers from Pebeo, which are FAR more durable than these oil-based markers..."
1346,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,流畅性,负面-出墨过多/漏墨,bleed through,"My granddaughters love these paint markers.However, If you want to use them for bible jouranling, they do bleed through a little bit. So I wouldn't recommend them for journaling.But the kids love them, they are good quality, great colors and the look of the markers are a lot of fun."
