review_id,Asin,Brand,Nation,Rating,Content,primary_segment,segment_core_hits,segment_aux_hits,segment_total_hits,segment_score,segment_score_gap,segment_confidence,segment_core_evidence,segment_aux_evidence,出墨方式,Price Level,ATTR__绘画主题__人物,ATTR__绘画主题__植物/自然,ATTR__绘画主题__装饰物/器物,ATTR__绘画主题__动物,ATTR_TOP__绘画主题,ATTR_TOP_SCORE__绘画主题,ATTR_TOP_HINT__绘画主题,ATTR_TOP_MATCHED__绘画主题,ATTR_TOP_MATCHED_HINT__绘画主题,ATTR_TOP_DISPLAY__绘画主题,ATTR_MENTIONED__绘画主题,ATTR__绘画场景__课堂/学习,ATTR__绘画场景__家庭/个人,ATTR__绘画场景__户外/社区装饰,ATTR__绘画场景__工作室/商业制作,ATTR_TOP__绘画场景,ATTR_TOP_SCORE__绘画场景,ATTR_TOP_HINT__绘画场景,ATTR_TOP_MATCHED__绘画场景,ATTR_TOP_MATCHED_HINT__绘画场景,ATTR_TOP_DISPLAY__绘画场景,ATTR_MENTIONED__绘画场景,ATTR__购买动机__入门学习,ATTR__购买动机__提升技能,ATTR__购买动机__专业产出,ATTR__购买动机__兴趣爱好,ATTR__购买动机__礼品需求,ATTR__购买动机__品牌信任,ATTR__购买动机__社交/媒体种草,ATTR__购买动机__便携性需求,ATTR__购买动机__多功能需求,ATTR__购买动机__压力缓解/情绪调节,ATTR_TOP__购买动机,ATTR_TOP_SCORE__购买动机,ATTR_TOP_HINT__购买动机,ATTR_TOP_MATCHED__购买动机,ATTR_TOP_MATCHED_HINT__购买动机,ATTR_TOP_DISPLAY__购买动机,ATTR_MENTIONED__购买动机,ATTR__使用对象__儿童,ATTR__使用对象__青少年/学生,ATTR__使用对象__成人,ATTR__使用对象__老年人,ATTR_TOP__使用对象,ATTR_TOP_SCORE__使用对象,ATTR_TOP_HINT__使用对象,ATTR_TOP_MATCHED__使用对象,ATTR_TOP_MATCHED_HINT__使用对象,ATTR_TOP_DISPLAY__使用对象,ATTR_MENTIONED__使用对象,ATTR__介质偏好__纸张/卡纸,ATTR__介质偏好__深色纸,ATTR__介质偏好__木材,ATTR__介质偏好__石头/岩石,ATTR__介质偏好__玻璃,ATTR__介质偏好__陶瓷,ATTR__介质偏好__画布,ATTR__介质偏好__布料,ATTR__介质偏好__鞋类/皮革,ATTR__介质偏好__塑料,ATTR__介质偏好__金属,ATTR__介质偏好__树脂/黏土,ATTR__介质偏好__黑板/光滑特殊表面,ATTR_TOP__介质偏好,ATTR_TOP_SCORE__介质偏好,ATTR_TOP_HINT__介质偏好,ATTR_TOP_MATCHED__介质偏好,ATTR_TOP_MATCHED_HINT__介质偏好,ATTR_TOP_DISPLAY__介质偏好,ATTR_MENTIONED__介质偏好,ATTR__产品期望__颜色表现,ATTR__产品期望__覆盖显色,ATTR__产品期望__流畅出墨,ATTR__产品期望__耐用寿命,ATTR__产品期望__安全/气味,ATTR__产品期望__包装/收纳,ATTR__产品期望__便携性,ATTR__产品期望__性价比,ATTR__产品期望__多功能性,ATTR__产品期望__效率/快干,ATTR_TOP__产品期望,ATTR_TOP_SCORE__产品期望,ATTR_TOP_HINT__产品期望,ATTR_TOP_MATCHED__产品期望,ATTR_TOP_MATCHED_HINT__产品期望,ATTR_TOP_DISPLAY__产品期望,ATTR_MENTIONED__产品期望,NEG__颜色种类,POS__颜色种类,NEG__色彩一致性,POS__色彩一致性,NEG__色彩饱和度与混合,POS__色彩饱和度与混合,NEG__色系评价,POS__色系评价,NEG__笔头表现,POS__笔头表现,NEG__笔头耐用性,POS__笔头耐用性,NEG__流畅性,POS__流畅性,NEG__墨水特性,POS__墨水特性,NEG__笔身与易用性,POS__笔身与易用性,NEG__绘画表现,POS__绘画表现,NEG__场景表现,POS__场景表现,NEG__表面/介质表现,POS__表面/介质表现,NEG__外观与包装,POS__外观与包装,NEG__多样性与适配性,POS__多样性与适配性,NEG__教育与启发,POS__教育与启发,NEG__特殊用途,POS__特殊用途,NEG__性价比,POS__性价比,NEG__配套与服务(色卡),POS__配套与服务(色卡),NEG__购买与服务体验,POS__购买与服务体验,NEG__容量,POS__容量
55,B001ANVDMA,posca,US,5,I bought these for my daughter to use on a Pinterest idea for mason jars! Came out great! Love these!,儿童/课堂使用群,1,0,1,3,3,high,for my daughter,,阀门式,(1.67-2.12),0,0,1,0,装饰物/器物,2,"still life, object drawing, ornaments, ornament",jars | mason jars,"jars, mason jars","装饰物/器物（still life, object drawing, ornaments, ornament）",1,0,1,0,0,家庭/个人,1,"for my kids, my kids, for fun, home project",my daughter,my daughter,"家庭/个人（for my kids, my kids, for fun, home project）",1,0,0,0,0,0,0,1,0,0,0,社交/媒体种草,1,"recommended by, my friend recommended, my teacher recommended, saw good reviews",pinterest,pinterest,"社交/媒体种草（recommended by, my friend recommended, my teacher recommended, saw good reviews）",1,1,0,0,0,儿童,1,"kid, kids, child, children",for my daughter,for my daughter,"儿童（kid, kids, child, children）",1,0,0,0,0,1,0,0,0,0,0,0,0,0,玻璃,2,"on glass, glass, glass art, wine glass",jars | mason jars,"jars, mason jars","玻璃（on glass, glass, glass art, wine glass）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,B001ANVDMA,posca,US,5,"I use these for art journaling and other art activities.  They are easy to use, move smoothly across the page, and don't smear once they are dry. Very pleased!",纸面手账/装饰书写群,1,1,1,4,4,high,journaling,journaling,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,1,0,0,0,0,0,0,0,0,0,入门学习,1,"starter kit, starter set, for beginners, beginner friendly",easy to use,easy to use,"入门学习（starter kit, starter set, for beginners, beginner friendly）",1,0,0,1,0,成人,1,"adult coloring, for my hobby, for fun, journaling",journaling,journaling,"成人（adult coloring, for my hobby, for fun, journaling）",1,0,0,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,1,0,0,0,0,0,0,0,流畅出墨,1,"smooth flow, flows well, smoothly, consistent flow",smoothly,smoothly,"流畅出墨（smooth flow, flows well, smoothly, consistent flow）",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,B001ANVDMA,posca,US,5,"I LOVE these pens!  I am a mixed medium collage artist and these pens work beautifully on acrylic paints and canvas. I use both the Fine and Extra Fine pens for detail work, highlighting facial features, writing on canvases, and so much more. They are fun, functional and gorgeous, rich color.",精细绘画/插画创作群,0,1,1,1,1,low,,detail,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,1,0,成人,1,"adult coloring, for my hobby, for fun, journaling",artist,artist,"成人（adult coloring, for my hobby, for fun, journaling）",1,0,0,0,0,0,0,1,0,0,0,0,0,0,画布,2,"on canvas, canvas, canvas board, stretched canvas",on canvas | canvas,"on canvas, canvas","画布（on canvas, canvas, canvas board, stretched canvas）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,B001ANVDMA,posca,US,3,"The white and black markers didn't even work.  I barely got to use them before they were dried out.  Other than that, they work well on the rocks we painted and were easy to draw with.  Not happy about the two main colors i needed not working but what can you do once you get them?",多表面diy/定制群,0,1,1,1,1,low,,rocks,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,1,0,0,0,0,0,0,0,0,0,石头/岩石,1,"on rock, on rocks, rock painting, painting rocks",rocks,rocks,"石头/岩石（on rock, on rocks, rock painting, painting rocks）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,B001ANVDMA,posca,US,5,"Love this pens for painting my rocks, Works great. Thank you for my new tools",多表面diy/定制群,0,1,1,1,1,low,,rocks,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,1,0,0,0,0,0,0,0,0,0,石头/岩石,1,"on rock, on rocks, rock painting, painting rocks",rocks,rocks,"石头/岩石（on rock, on rocks, rock painting, painting rocks）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,B001ANVDMA,posca,US,5,Super for painting rock art,多表面diy/定制群,0,1,1,1,1,low,,rock,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,1,0,0,0,0,0,0,0,0,0,石头/岩石,1,"on rock, on rocks, rock painting, painting rocks",rock,rock,"石头/岩石（on rock, on rocks, rock painting, painting rocks）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,B001ANVDMA,posca,US,5,"these are fantastic for fine detail in smaller paintings or sketches<br>very opaque<br>a couple of pigments were very watery at first, but then the colour got thicker<br>love them and will definitely re-purchase",精细绘画/插画创作群,0,1,1,1,1,low,,detail,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,1,0,0,0,0,0,0,0,0,覆盖显色,1,"opaque, opaque coverage, covers well, one coat",opaque,opaque,"覆盖显色（opaque, opaque coverage, covers well, one coat）",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,B001ANVDMA,posca,US,5,Good variety of colors.  And awesome medium to use for Rock Painting.,多表面diy/定制群,1,1,2,4,4,high,rock painting,rock,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,1,0,0,0,0,0,0,0,0,0,石头/岩石,2,"on rock, on rocks, rock painting, painting rocks",rock painting | rock,"rock painting, rock","石头/岩石（on rock, on rocks, rock painting, painting rocks）",1,1,0,0,0,0,0,0,0,0,0,颜色表现,1,"vibrant colors, rich colors, deep saturation, true to color",variety of colors,variety of colors,"颜色表现（vibrant colors, rich colors, deep saturation, true to color）",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,B001ANVDMA,posca,US,5,Oh my gosh I wish I could give more than 5 stars.  I recently started painting rocks and these pens make detailing so easy. I will definitely buy more of these.,多表面diy/定制群,0,1,1,1,1,low,,rocks,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,1,0,0,0,0,0,0,0,0,0,石头/岩石,2,"on rock, on rocks, rock painting, painting rocks",painting rocks | rocks,"painting rocks, rocks","石头/岩石（on rock, on rocks, rock painting, painting rocks）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,B001ANVDMA,posca,US,5,Best markers for my chalk calendar. Have to hold down for a bit for the markers to start working. But I love the color option,纸面手账/装饰书写群,0,1,1,1,1,low,,calendar,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
