primary_segment,pain_dimension,neg_mentions,pos_mentions,review_count,hit_reviews,neg_rate,avg_rating
多表面diy/定制群,笔身与易用性,34,417,3598,446,0.009449694274596998,4.79372197309417
多表面diy/定制群,笔头表现,26,38,3598,64,0.007226236798221234,4.578125
多表面diy/定制群,表面/介质表现,17,127,3598,144,0.004724847137298499,4.6875
多表面diy/定制群,教育与启发,7,420,3598,426,0.0019455252918287938,4.823943661971831
多表面diy/定制群,场景表现,5,120,3598,125,0.0013896609227348527,4.744
多表面diy/定制群,多样性与适配性,5,23,3598,26,0.0013896609227348527,4.6923076923076925
多表面diy/定制群,购买与服务体验,5,30,3598,35,0.0013896609227348527,4.8
多表面diy/定制群,外观与包装,4,27,3598,31,0.0011117287381878821,4.741935483870968
多表面diy/定制群,容量,4,31,3598,35,0.0011117287381878821,4.685714285714286
多表面diy/定制群,颜色种类,2,70,3598,72,0.0005558643690939411,4.805555555555555
多表面diy/定制群,特殊用途,2,6,3598,7,0.0005558643690939411,4.428571428571429
多表面diy/定制群,色系评价,1,25,3598,26,0.00027793218454697053,4.6923076923076925
多表面diy/定制群,色彩一致性,0,22,3598,22,0.0,4.590909090909091
多表面diy/定制群,配套与服务(色卡),0,2,3598,2,0.0,5.0
精细绘画/插画创作群,流畅性,30,67,721,90,0.04160887656033287,4.788888888888889
精细绘画/插画创作群,色彩饱和度与混合,28,44,721,68,0.038834951456310676,4.676470588235294
精细绘画/插画创作群,笔头耐用性,26,24,721,49,0.036061026352288486,4.551020408163265
精细绘画/插画创作群,性价比,16,56,721,64,0.022191400832177532,4.703125
精细绘画/插画创作群,绘画表现,13,77,721,87,0.018030513176144243,4.793103448275862
精细绘画/插画创作群,笔头表现,12,23,721,34,0.016643550624133148,4.647058823529412
精细绘画/插画创作群,笔身与易用性,10,78,721,86,0.013869625520110958,4.837209302325581
精细绘画/插画创作群,墨水特性,6,69,721,75,0.008321775312066574,4.773333333333333
精细绘画/插画创作群,表面/介质表现,6,3,721,9,0.008321775312066574,4.444444444444445
精细绘画/插画创作群,特殊用途,4,4,721,8,0.005547850208044383,5.0
精细绘画/插画创作群,多样性与适配性,3,6,721,7,0.004160887656033287,5.0
精细绘画/插画创作群,教育与启发,2,71,721,73,0.0027739251040221915,4.876712328767123
精细绘画/插画创作群,色系评价,1,10,721,11,0.0013869625520110957,5.0
精细绘画/插画创作群,外观与包装,1,6,721,6,0.0013869625520110957,4.5
精细绘画/插画创作群,颜色种类,0,31,721,31,0.0,4.645161290322581
精细绘画/插画创作群,色彩一致性,0,9,721,9,0.0,4.666666666666667
精细绘画/插画创作群,场景表现,0,15,721,15,0.0,4.866666666666666
精细绘画/插画创作群,购买与服务体验,0,5,721,5,0.0,4.8
精细绘画/插画创作群,容量,0,10,721,10,0.0,4.8
纸面手账/装饰书写群,流畅性,34,49,454,74,0.07488986784140969,4.77027027027027
纸面手账/装饰书写群,色彩饱和度与混合,19,20,454,37,0.04185022026431718,4.648648648648648
纸面手账/装饰书写群,笔头耐用性,17,9,454,24,0.037444933920704845,4.458333333333333
纸面手账/装饰书写群,绘画表现,10,56,454,62,0.022026431718061675,4.612903225806452
纸面手账/装饰书写群,笔身与易用性,8,46,454,53,0.01762114537444934,4.716981132075472
纸面手账/装饰书写群,性价比,8,33,454,39,0.01762114537444934,4.512820512820513
纸面手账/装饰书写群,笔头表现,7,15,454,22,0.015418502202643172,4.909090909090909
纸面手账/装饰书写群,墨水特性,4,53,454,55,0.00881057268722467,4.7272727272727275
纸面手账/装饰书写群,表面/介质表现,3,0,454,3,0.006607929515418502,3.3333333333333335
纸面手账/装饰书写群,教育与启发,3,50,454,52,0.006607929515418502,4.673076923076923
纸面手账/装饰书写群,场景表现,2,13,454,15,0.004405286343612335,4.6
纸面手账/装饰书写群,外观与包装,1,3,454,4,0.0022026431718061676,4.5
纸面手账/装饰书写群,多样性与适配性,1,2,454,3,0.0022026431718061676,4.333333333333333
纸面手账/装饰书写群,容量,1,5,454,6,0.0022026431718061676,5.0
纸面手账/装饰书写群,颜色种类,0,18,454,18,0.0,4.666666666666667
纸面手账/装饰书写群,色彩一致性,0,3,454,3,0.0,4.666666666666667
纸面手账/装饰书写群,色系评价,0,5,454,5,0.0,4.6
纸面手账/装饰书写群,特殊用途,0,5,454,5,0.0,4.8
纸面手账/装饰书写群,购买与服务体验,0,2,454,2,0.0,5.0
